Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.1,11.97,18.95,9.17,13.43,22.57,18.85,10.81,14.85,35.65,15.5
Accounts Receivable,12.46,12.88,12.48,12.08,12.75,11.32,9.28,8.69,8.29,6.17,6.64
Inventory,7.43,6.54,6.23,5.36,5.45,5.64,6.27,6.4,6.3,4.62,4.82
Other Current Assets,8.37,8.77,6.82,10.92,7.8,7.06,10.41,11.08,4.88,4.4,2.62
Total Current Assets,35.36,40.18,44.48,37.53,39.43,46.59,44.81,36.97,34.32,50.84,29.59
Net PP&E,18.93,17.02,14.54,13.41,13.06,11.99,13.75,14.38,13.89,10.83,9.99
Intangibles,39.91,35.69,37.19,47.23,42.63,36.23,36.1,39.41,36.85,23.21,56.26
Other Long-Term Assets,5.8,7.12,3.8,1.84,4.88,5.19,5.34,9.24,14.94,15.12,4.16
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.07,3.19,2.44,2.58,2.86,2.67,2.39,2.58,2.62,2.24,2.57
Short-Term Debt,6.86,6.44,9.9,10.75,5.6,3.56,7.39,10.75,7.59,2.52,0.99
Taxes Payable,,1.9,0.84,2.2,0.85,0.97,0.41,0.65,1.04,0.36,0.25
Accrued Liabilities,9.35,12.32,10.46,12.35,15.12,12.22,10.26,9.01,13.59,6.33,6.53
Other Short-Term Liabilities,3.64,3.48,1.25,1.14,1.25,0.33,1.69,2.52,-2.57,1.21,0.64
Total Current Liabilities,22.92,27.33,24.9,29.03,25.68,19.75,22.13,25.52,22.27,12.65,10.98
Long-Term Debt,23.89,20.54,21.49,21.06,19.97,26.9,7.89,8.26,14.23,39.27,32.26
Other Long-Term Liabilities,8.42,10.93,10.01,12.26,13.8,13.61,11.38,14.07,12.07,9.09,12.42
Total Liabilities,55.23,58.79,56.4,62.35,59.45,60.26,41.4,47.85,48.58,61.0,55.66
Total Stockholders' Equity,44.77,41.21,43.6,37.65,40.55,39.74,58.6,52.15,51.42,39.0,44.34
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
