Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.41,5.82,7.78,7.0,10.51,11.07,14.13,15.31,15.33,14.48,17.92
Accounts Receivable,18.89,17.27,17.43,18.68,18.16,17.75,17.45,17.51,16.37,16.29,15.13
Inventory,11.42,10.84,9.57,10.46,10.71,10.12,9.45,9.69,8.96,8.06,8.37
Other Current Assets,4.76,3.44,3.93,3.53,1.16,3.11,5.55,6.31,,3.75,2.0
Total Current Assets,40.48,37.37,38.71,39.68,40.53,42.05,46.58,48.82,40.66,42.58,43.41
Net PP&E,14.75,13.9,13.46,12.79,12.07,11.95,11.62,11.84,11.74,10.7,10.14
Intangibles,31.57,35.09,35.18,37.46,29.79,35.54,34.25,32.99,41.51,41.26,40.26
Other Long-Term Assets,13.2,13.64,12.65,10.08,17.61,10.47,7.56,6.34,6.09,5.46,6.19
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.72,10.63,10.09,11.48,11.9,11.32,11.39,11.8,11.31,10.51,10.68
Short-Term Debt,6.62,7.07,3.78,2.35,1.69,2.63,4.46,5.8,13.21,6.64,9.39
Taxes Payable,,,,,,1.86,1.08,,0.95,1.33,
Accrued Liabilities,16.98,16.92,17.09,17.14,17.24,3.72,9.5,14.9,8.0,7.71,12.04
Other Short-Term Liabilities,,,,,,11.64,4.78,,3.78,3.97,
Total Current Liabilities,35.32,34.63,30.96,30.97,30.84,31.17,31.21,32.5,37.25,30.16,32.1
Long-Term Debt,16.03,16.53,17.35,15.21,17.29,15.28,14.97,13.3,11.26,22.5,20.18
Other Long-Term Liabilities,21.37,28.6,27.13,25.63,24.73,22.55,15.38,15.35,14.41,11.57,10.6
Total Liabilities,72.72,79.75,75.44,71.81,72.85,69.0,61.56,61.15,62.93,64.23,62.88
Total Stockholders' Equity,27.28,20.25,24.56,28.19,27.15,31.0,38.44,38.85,37.07,35.77,37.12
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
