Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,6001.0,6718.0,6723.0,7320.0,8307.0,8657.0,9021.0,9675.0,9946.0,11325.0,12130.0
Gross Margin %,68.9,68.3,67.5,68.8,66.2,67.9,66.7,65.7,66.4,66.2,66.1
Operating Income USD Mil,1307.0,1519.0,1594.0,1751.0,1686.0,1741.0,1256.0,1246.0,1861.0,2166.0,2239.0
Operating Margin %,21.8,22.6,23.7,23.9,20.3,20.1,13.9,12.9,18.7,19.1,18.5
Net Income USD Mil,1017.0,1147.0,1107.0,1273.0,1345.0,1298.0,1006.0,515.0,1439.0,1647.0,1779.0
Earnings Per Share USD,2.44,2.78,2.77,3.19,3.45,3.39,2.63,1.34,3.78,4.35,4.68
Dividends USD,,,,0.33,0.75,0.9,1.1,1.26,0.69,1.56,1.7
Payout Ratio % *,,,,4.6,22.8,22.9,45.5,72.6,33.7,25.9,36.3
Shares Mil,417.0,414.0,399.0,400.0,390.0,383.0,382.0,383.0,380.0,379.0,380.0
Book Value Per Share * USD,8.54,10.08,11.29,14.13,15.31,16.61,16.81,18.77,20.82,23.54,23.73
Operating Cash Flow USD Mil,1028.0,1176.0,1461.0,1547.0,1434.0,1657.0,1886.0,1782.0,899.0,1812.0,1435.0
Cap Spending USD Mil,-187.0,-155.0,-131.0,-182.0,-226.0,-210.0,-195.0,-233.0,-270.0,-490.0,-555.0
Free Cash Flow USD Mil,841.0,1021.0,1329.0,1365.0,1208.0,1447.0,1691.0,1549.0,629.0,1322.0,880.0
Free Cash Flow Per Share * USD,1.37,1.61,2.1,2.65,2.17,2.88,3.09,3.33,1.56,3.52,
Working Capital USD Mil,3572.0,3517.0,4410.0,6026.0,5383.0,6272.0,5678.0,5209.0,4441.0,4713.0,
