Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,225.0,251.0,263.0,280.0,279.0,279.0,270.0,293.0,303.0,311.0,313.0
Gross Margin %,6.1,6.0,6.2,7.2,7.8,8.5,8.8,9.3,9.4,9.7,9.7
Operating Income GBP Mil,2.0,3.0,4.0,11.0,7.0,7.0,8.0,10.0,10.0,11.0,10.0
Operating Margin %,1.0,1.2,1.6,4.0,2.5,2.7,2.9,3.3,3.4,3.5,3.3
Net Income GBP Mil,5.0,4.0,4.0,10.0,7.0,8.0,7.0,8.0,10.0,10.0,9.0
Earnings Per Share GBP,0.03,0.02,0.02,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0.05
Dividends GBP,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.03
Payout Ratio % *,54.5,51.7,62.9,25.0,57.6,51.1,46.9,54.0,47.7,50.3,58.8
Shares Mil,166.0,165.0,165.0,172.0,175.0,175.0,179.0,185.0,187.0,187.0,188.0
Book Value Per Share * GBP,-0.19,-0.17,-0.18,-0.12,-0.16,-0.13,-0.06,-0.06,-0.03,0.01,0.03
Operating Cash Flow GBP Mil,-7.0,7.0,8.0,-2.0,4.0,7.0,4.0,13.0,11.0,9.0,-17.0
Cap Spending GBP Mil,-0.0,-1.0,-2.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow GBP Mil,-8.0,6.0,5.0,-9.0,3.0,6.0,3.0,13.0,10.0,8.0,-18.0
Free Cash Flow Per Share * GBP,-0.05,0.03,0.03,-0.05,-0.04,,0.03,,0.06,0.12,
Working Capital GBP Mil,-38.0,-35.0,-35.0,-34.0,-29.0,-25.0,-16.0,-11.0,-5.0,-1.0,
