Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.31,3.14,4.36,2.52,2.7,2.25,2.88,3.01,2.55,2.4,3.37
Accounts Receivable,1.66,1.5,1.57,2.75,3.11,2.82,2.84,3.06,2.48,2.26,2.49
Inventory,1.19,1.13,1.12,1.24,1.36,1.4,1.31,1.35,1.35,1.29,1.29
Other Current Assets,1.66,1.31,1.62,1.46,1.1,1.19,0.99,1.46,1.18,0.51,0.6
Total Current Assets,6.82,7.08,8.68,7.97,8.26,7.66,8.02,8.88,7.56,6.45,7.75
Net PP&E,89.81,89.88,88.25,88.78,88.55,89.07,87.97,87.78,89.5,90.44,88.92
Intangibles,,,,,,,,,,,
Other Long-Term Assets,3.37,3.04,3.07,3.26,3.18,3.27,4.01,3.35,2.94,3.11,3.33
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.92,1.58,1.44,1.57,1.82,1.75,1.61,1.66,1.36,1.71,1.46
Short-Term Debt,0.37,0.81,0.5,0.55,0.46,0.42,1.42,0.88,1.09,1.36,1.57
Taxes Payable,0.9,0.52,0.53,0.2,1.07,0.78,0.99,0.78,0.79,0.85,0.98
Accrued Liabilities,2.28,2.14,1.9,1.72,1.99,1.61,1.72,1.78,1.62,1.41,1.33
Other Short-Term Liabilities,2.52,2.2,1.95,2.81,2.01,2.06,1.88,2.04,1.01,1.2,1.33
Total Current Liabilities,8.0,7.25,6.32,6.85,7.36,6.61,7.62,7.14,5.87,6.53,6.67
Long-Term Debt,19.83,21.67,22.72,20.89,19.29,18.66,17.84,20.9,24.92,25.57,27.75
Other Long-Term Liabilities,31.19,32.19,31.01,31.03,32.16,32.57,31.86,31.76,31.29,32.12,32.21
Total Liabilities,59.02,61.11,60.05,58.78,58.8,57.85,57.32,59.81,62.08,64.23,66.63
Total Stockholders' Equity,40.98,38.89,39.95,41.22,41.2,42.15,42.68,40.19,37.92,35.77,33.37
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
