Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,3924.0,4328.0,4866.0,5100.0,5460.0,5737.0,6878.0,9500.0
Gross Margin %,,,,28.5,26.4,25.3,26.2,27.5,28.3,30.9,34.8
Operating Income USD Mil,,,,395.0,345.0,396.0,462.0,590.0,646.0,642.0,661.0
Operating Margin %,,,,10.1,8.0,8.1,9.1,10.8,11.3,9.3,7.0
Net Income USD Mil,,,,161.0,242.0,178.0,227.0,357.0,387.0,115.0,55.0
Earnings Per Share USD,,,,1.36,2.05,1.51,1.77,2.72,3.08,0.76,-0.62
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,118.0,118.0,118.0,128.0,131.0,125.0,152.0,230.0
Book Value Per Share * USD,,,,,,,-5.49,-4.32,-3.4,-1.26,34.93
Operating Cash Flow USD Mil,,,,378.0,161.0,336.0,397.0,432.0,476.0,860.0,1184.0
Cap Spending USD Mil,,,,-80.0,-76.0,-71.0,-92.0,-83.0,-78.0,-164.0,-353.0
Free Cash Flow USD Mil,,,,298.0,85.0,264.0,305.0,349.0,397.0,696.0,831.0
Free Cash Flow Per Share * USD,,,,,,,1.95,2.41,3.49,4.26,
Working Capital USD Mil,,,,,173.0,192.0,463.0,674.0,818.0,632.0,
