Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,21832.0,20862.0,14321.0,15218.0,15249.0,13922.0,13112.0,13314.0,11883.0,10441.0,10913.0
Gross Margin %,25.4,10.0,-6.6,7.3,6.6,4.1,1.9,10.4,7.9,-2.1,5.9
Operating Income THB Mil,4287.0,-455.0,-3860.0,-206.0,-445.0,-1953.0,-1651.0,372.0,470.0,-1371.0,-336.0
Operating Margin %,19.6,-2.2,-27.0,-1.4,-2.9,-14.0,-12.6,2.8,4.0,-13.1,-3.1
Net Income THB Mil,3816.0,-832.0,-3786.0,465.0,-781.0,-1929.0,-1653.0,362.0,442.0,-1375.0,-350.0
Earnings Per Share THB,5.76,-1.26,-5.71,0.63,-0.94,-2.33,-1.99,0.44,0.53,-1.66,-0.43
Dividends THB,1.5,1.0,,,,,,,0.1,0.05,
Payout Ratio % *,26.0,26.0,,,,,,,23.3,,
Shares Mil,662.0,663.0,663.0,738.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0
Book Value Per Share * THB,25.44,25.44,23.69,14.59,15.76,14.45,12.14,11.4,12.76,11.34,10.53
Operating Cash Flow THB Mil,2817.0,1216.0,-779.0,311.0,-441.0,724.0,788.0,1160.0,1400.0,463.0,1236.0
Cap Spending THB Mil,-1078.0,-2522.0,-2154.0,-353.0,-40.0,-428.0,-460.0,-69.0,-505.0,-909.0,-1092.0
Free Cash Flow THB Mil,1739.0,-1306.0,-2933.0,-42.0,-481.0,297.0,329.0,1091.0,895.0,-446.0,144.0
Free Cash Flow Per Share * THB,2.62,2.62,-1.97,-0.11,-0.27,-0.66,0.8,1.03,1.68,0.14,
Working Capital THB Mil,375.0,-453.0,-450.0,714.0,601.0,-576.0,-1547.0,-1387.0,-1554.0,-2853.0,
