Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,2.9,4.88,3.45,3.47,6.95,8.47,5.68,4.5,5.25,5.38,6.66
Accounts Receivable,20.16,16.62,,,,,,,,,
Inventory,4.68,7.51,7.26,7.87,9.41,9.69,9.61,10.24,12.9,12.39,12.69
Other Current Assets,1.03,2.29,19.91,20.85,22.12,19.28,20.4,19.27,20.28,20.77,19.82
Total Current Assets,28.77,31.3,30.61,32.19,38.49,37.44,35.69,34.01,38.43,38.54,39.17
Net PP&E,58.98,58.41,58.41,56.89,51.17,47.32,47.74,45.7,41.91,39.86,38.61
Intangibles,,0.28,0.28,0.32,0.35,0.37,0.92,0.94,1.0,0.88,0.83
Other Long-Term Assets,12.25,10.0,10.7,10.6,9.99,14.86,15.65,19.35,18.66,20.72,21.39
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,6.23,6.59,7.37,8.27,5.41,5.18,5.25,,,
Short-Term Debt,14.35,19.68,20.9,18.48,17.62,15.77,14.58,16.05,16.6,10.95,9.86
Taxes Payable,0.66,0.63,1.22,0.38,1.03,0.28,0.33,0.95,0.55,0.64,0.26
Accrued Liabilities,1.91,,,,,,,,,,
Other Short-Term Liabilities,11.61,3.13,4.01,4.19,4.1,4.92,5.6,5.73,12.11,11.48,12.04
Total Current Liabilities,28.53,29.67,32.72,30.42,31.02,26.37,25.7,27.97,29.26,23.07,22.17
Long-Term Debt,20.16,23.67,17.52,17.6,16.38,21.01,23.22,19.11,19.1,21.68,21.46
Other Long-Term Liabilities,4.58,3.35,8.93,8.8,7.31,6.29,5.57,5.23,5.25,5.43,5.57
Total Liabilities,53.27,56.69,59.17,56.82,54.71,53.67,54.49,52.31,53.61,50.19,49.2
Total Stockholders' Equity,46.73,43.31,40.83,43.18,45.29,46.33,45.51,47.69,46.39,49.81,50.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
