Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1127.0,1909.0,2048.0,2470.0,3270.0,4123.0,5063.0,6740.0,7193.0,8584.0,9417.0
Gross Margin %,44.9,44.2,45.3,44.3,42.6,41.8,41.0,39.3,39.4,39.0,39.1
Operating Income USD Mil,123.0,193.0,231.0,298.0,361.0,438.0,530.0,650.0,705.0,763.0,841.0
Operating Margin %,10.9,10.1,11.3,12.1,11.1,10.6,10.5,9.6,9.8,8.9,8.9
Net Income USD Mil,66.0,100.0,128.0,169.0,210.0,261.0,312.0,382.0,423.0,464.0,496.0
Earnings Per Share USD,0.28,0.35,0.45,0.58,0.71,0.87,1.02,1.25,1.38,1.5,1.6
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,240.0,282.0,288.0,292.0,297.0,301.0,304.0,306.0,307.0,310.0,310.0
Book Value Per Share * USD,3.17,3.65,4.15,4.86,5.38,6.6,7.49,8.79,9.94,11.14,13.08
Operating Cash Flow USD Mil,54.0,133.0,164.0,159.0,212.0,206.0,428.0,371.0,530.0,635.0,560.0
Cap Spending USD Mil,-38.0,-67.0,-56.0,-61.0,-86.0,-88.0,-90.0,-141.0,-170.0,-207.0,-190.0
Free Cash Flow USD Mil,16.0,66.0,108.0,98.0,125.0,118.0,338.0,230.0,359.0,428.0,370.0
Free Cash Flow Per Share * USD,0.07,0.23,0.38,0.34,0.3,0.39,0.91,0.92,1.3,1.05,
Working Capital USD Mil,389.0,442.0,534.0,612.0,752.0,896.0,1122.0,1567.0,1589.0,2357.0,
