Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,24.71,21.96,23.15,22.33,23.82,20.92,27.78,26.68,22.96,19.36,25.33
Accounts Receivable,8.35,6.29,7.67,8.45,8.08,8.42,7.92,7.84,8.73,7.31,6.88
Inventory,,,,,,,,,,,
Other Current Assets,-33.06,,,,,,,,,,
Total Current Assets,,28.25,30.82,30.78,31.89,29.34,35.7,34.53,31.69,26.67,32.21
Net PP&E,11.28,15.61,15.97,15.38,15.05,13.35,11.38,10.39,11.89,9.88,8.6
Intangibles,21.05,23.61,20.74,18.28,17.66,15.84,13.23,11.79,13.04,10.69,9.02
Other Long-Term Assets,-32.33,32.53,32.47,35.56,35.4,41.47,39.69,43.29,43.39,52.76,50.16
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,,,,,
Short-Term Debt,,,,,,,,,,,
Taxes Payable,1.31,0.9,1.05,0.93,0.8,0.51,0.77,0.42,0.42,0.63,0.23
Accrued Liabilities,2.55,2.15,1.66,1.97,1.68,2.16,1.44,1.46,3.0,1.49,6.15
Other Short-Term Liabilities,-3.86,3.08,2.49,2.18,2.2,2.13,2.06,2.54,3.34,6.38,5.79
Total Current Liabilities,,6.13,5.2,5.08,4.67,4.81,4.27,4.41,6.75,8.5,12.17
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,,5.6,5.02,4.4,4.6,3.68,,,,11.04,12.92
Total Liabilities,12.6,11.73,10.22,9.49,9.27,8.49,4.27,4.41,6.75,19.54,25.09
Total Stockholders' Equity,87.4,88.27,89.78,90.51,90.73,91.51,95.73,95.59,93.25,80.46,74.91
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
