Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,364.0,423.0,508.0,640.0,870.0,984.0,924.0,885.0,904.0,1016.0,1056.0
Gross Margin %,,,,,,,,,,,
Operating Income GBP Mil,182.0,203.0,216.0,266.0,299.0,345.0,370.0,355.0,380.0,290.0,293.0
Operating Margin %,50.1,47.9,42.5,41.4,34.4,35.0,40.0,40.2,42.0,28.5,27.8
Net Income GBP Mil,127.0,145.0,157.0,194.0,221.0,258.0,287.0,285.0,300.0,222.0,228.0
Earnings Per Share GBP,0.48,0.55,0.59,0.72,0.81,0.94,1.04,1.03,1.07,0.79,0.8
Dividends GBP,0.2,0.23,0.25,0.28,0.36,0.39,0.44,0.48,0.47,0.7,0.52
Payout Ratio % *,40.9,43.5,42.7,39.9,39.7,40.8,43.7,43.7,44.1,54.3,64.8
Shares Mil,262.0,264.0,266.0,268.0,271.0,272.0,275.0,277.0,280.0,283.0,285.0
Book Value Per Share * GBP,0.9,1.04,1.13,1.3,1.45,1.67,1.78,1.92,2.1,2.28,2.16
Operating Cash Flow GBP Mil,87.0,119.0,227.0,211.0,190.0,220.0,233.0,177.0,304.0,432.0,398.0
Cap Spending GBP Mil,-5.0,-11.0,-12.0,-11.0,-17.0,-11.0,-10.0,-51.0,-51.0,-32.0,-24.0
Free Cash Flow GBP Mil,81.0,107.0,215.0,200.0,173.0,210.0,223.0,126.0,253.0,401.0,374.0
Free Cash Flow Per Share * GBP,0.31,0.41,0.81,0.75,1.09,0.77,0.62,1.13,0.11,1.25,
Working Capital GBP Mil,,,,,,,,,,,
