Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,9136.0,7148.0,6194.0,6399.0,6697.0,7232.0,7541.0,6602.0,9309.0,10546.0,11320.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,1594.0,-873.0,135.0,685.0,-421.0,711.0,1094.0,259.0,909.0,568.0,-317.0
Operating Margin %,17.4,-12.2,2.2,10.7,-6.3,9.8,14.5,3.9,9.8,5.4,-2.8
Net Income USD Mil,276.0,-2554.0,75.0,604.0,-475.0,651.0,1060.0,188.0,1207.0,441.0,-285.0
Earnings Per Share USD,1.15,-10.94,0.61,1.73,-1.52,2.1,3.63,0.69,4.15,1.56,-1.18
Dividends USD,1.52,1.14,0.4,0.4,0.44,0.44,0.56,0.64,0.72,0.8,0.86
Payout Ratio % *,132.2,,65.5,23.1,61.4,20.9,18.6,50.0,17.4,65.0,
Shares Mil,180.0,241.0,341.0,338.0,313.0,310.0,292.0,272.0,291.0,283.0,267.0
Book Value Per Share * USD,55.92,18.49,27.56,33.54,31.49,35.19,35.61,38.56,40.5,43.51,38.83
Operating Cash Flow USD Mil,2241.0,-427.0,-43.0,595.0,327.0,1056.0,780.0,963.0,616.0,915.0,421.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,2241.0,-427.0,-43.0,595.0,327.0,1056.0,780.0,963.0,616.0,915.0,421.0
Free Cash Flow Per Share * USD,12.47,-1.79,-0.13,1.76,0.41,3.4,3.42,2.36,2.65,2.61,
Working Capital USD Mil,,,,,,,,,,,
