Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.02,6.13,7.49,10.88,4.62,3.38,5.57,7.26,10.3,6.53,5.17
Accounts Receivable,16.23,18.48,18.12,17.18,16.48,10.88,10.79,11.21,11.99,12.71,14.15
Inventory,1.15,1.16,0.93,0.94,0.85,0.49,0.52,0.76,1.0,0.88,0.81
Other Current Assets,4.06,3.44,3.93,3.33,3.71,3.23,3.43,2.38,1.03,1.12,1.08
Total Current Assets,28.46,29.21,30.46,32.32,25.66,17.97,20.31,21.61,24.32,21.24,21.21
Net PP&E,13.53,14.38,14.62,14.43,16.11,11.69,12.8,13.76,15.06,16.94,17.81
Intangibles,56.9,55.41,54.09,52.42,57.43,69.25,65.72,63.34,59.31,58.35,57.15
Other Long-Term Assets,1.11,0.99,0.83,0.82,0.8,1.09,1.17,1.29,1.3,3.47,3.82
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.25,3.88,2.34,2.23,3.26,2.59,2.55,2.48,2.78,2.79,2.98
Short-Term Debt,0.34,1.0,1.32,0.92,0.98,1.42,1.61,0.67,0.7,0.88,1.0
Taxes Payable,,,0.31,,0.42,0.11,0.11,0.14,0.16,0.15,0.08
Accrued Liabilities,5.7,4.29,3.79,4.01,5.01,4.31,4.29,4.9,4.88,5.22,4.08
Other Short-Term Liabilities,6.36,6.8,6.1,4.23,3.3,4.17,5.85,3.45,4.45,5.35,6.99
Total Current Liabilities,15.65,15.96,13.85,11.39,12.97,12.6,14.4,11.64,12.96,14.39,15.12
Long-Term Debt,53.05,49.72,47.14,52.18,49.68,51.98,47.61,46.72,48.62,47.74,46.86
Other Long-Term Liabilities,6.36,7.52,10.76,12.05,13.27,11.93,12.07,12.82,12.12,13.07,12.86
Total Liabilities,75.05,73.2,71.75,75.62,75.92,76.51,74.08,71.18,73.69,75.2,74.84
Total Stockholders' Equity,24.95,26.8,28.25,24.38,24.08,23.49,25.92,28.82,26.31,24.8,25.16
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
