Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,835.0,921.0,1092.0,1243.0,1369.0,1514.0,1555.0,1679.0,1839.0,2067.0,2125.0
Gross Margin %,59.1,60.1,60.0,59.6,60.0,62.1,63.7,60.2,58.0,58.1,58.3
Operating Income USD Mil,143.0,190.0,240.0,267.0,294.0,355.0,405.0,409.0,429.0,426.0,444.0
Operating Margin %,17.1,20.7,22.0,21.5,21.5,23.4,26.1,24.4,23.3,20.6,20.9
Net Income USD Mil,110.0,146.0,190.0,227.0,255.0,307.0,345.0,353.0,352.0,342.0,352.0
Earnings Per Share USD,0.07,0.1,0.12,0.14,0.17,0.21,0.23,0.24,0.24,0.24,0.24
Dividends USD,,,,,,0.06,0.09,0.09,,0.03,0.06
Payout Ratio % *,,,,,,21.4,33.6,38.9,9.5,,23.2
Shares Mil,1574.0,1542.0,1551.0,1572.0,1493.0,1464.0,1444.0,1427.0,1417.0,1425.0,1428.0
Book Value Per Share * USD,0.74,0.92,1.0,1.07,1.13,1.34,1.28,1.43,1.59,1.7,1.91
Operating Cash Flow USD Mil,138.0,239.0,188.0,283.0,383.0,403.0,391.0,383.0,548.0,414.0,422.0
Cap Spending USD Mil,-76.0,-114.0,-62.0,-75.0,-61.0,-72.0,-81.0,-72.0,-68.0,-71.0,-73.0
Free Cash Flow USD Mil,62.0,125.0,127.0,208.0,322.0,331.0,310.0,311.0,480.0,343.0,349.0
Free Cash Flow Per Share * USD,0.04,0.1,0.1,0.12,0.19,0.23,0.24,0.29,0.4,0.32,
Working Capital USD Mil,547.0,584.0,673.0,1084.0,1108.0,874.0,1287.0,1177.0,781.0,1284.0,
