Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,8200.0,6974.0,7470.0,8976.0,10004.0,10963.0,12574.0,14269.0,15150.0,15875.0,16680.0
Gross Margin %,13.1,13.9,14.7,14.5,13.8,13.4,13.1,13.2,13.3,13.8,13.9
Operating Income USD Mil,214.0,63.0,455.0,642.0,438.0,733.0,830.0,997.0,1059.0,1064.0,1157.0
Operating Margin %,2.6,0.9,6.1,7.2,4.4,6.7,6.6,7.0,7.0,6.7,6.9
Net Income USD Mil,182.0,59.0,282.0,377.0,414.0,434.0,493.0,597.0,623.0,627.0,682.0
Earnings Per Share USD,0.83,0.27,1.26,1.65,1.79,1.87,2.16,2.73,3.03,3.26,3.64
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,221.0,219.0,222.0,228.0,231.0,232.0,228.0,219.0,206.0,192.0,188.0
Book Value Per Share * USD,,,,,,,,,273.53,322.12,336.91
Operating Cash Flow USD Mil,80.0,265.0,50.0,-17.0,-62.0,-778.0,-613.0,-968.0,-149.0,-468.0,-354.0
Cap Spending USD Mil,-253.0,-185.0,-22.0,-77.0,-173.0,-236.0,-310.0,-310.0,-316.0,-418.0,-359.0
Free Cash Flow USD Mil,-174.0,79.0,28.0,-94.0,-235.0,-1014.0,-923.0,-1278.0,-464.0,-886.0,-713.0
Free Cash Flow Per Share * USD,,,,,,,,,-76.59,-51.36,
Working Capital USD Mil,867.0,797.0,1079.0,902.0,1207.0,1626.0,1768.0,1602.0,1467.0,1768.0,
