Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.67,5.48,15.81,3.96,3.0,4.15,6.08,5.1,5.51,12.25,10.59
Accounts Receivable,23.17,21.82,17.99,17.36,16.37,16.17,15.64,15.14,15.09,10.65,12.19
Inventory,5.54,5.49,3.75,3.24,3.39,3.37,3.44,3.38,3.8,4.63,6.18
Other Current Assets,2.9,3.52,2.95,3.68,3.51,3.87,4.16,8.47,2.54,10.99,4.51
Total Current Assets,36.27,36.31,40.49,28.23,26.27,27.56,29.31,32.08,26.94,38.53,33.47
Net PP&E,9.23,8.97,7.74,7.19,7.12,6.97,6.97,5.96,6.01,6.26,6.49
Intangibles,18.43,16.89,16.73,41.28,39.33,40.61,40.32,39.18,44.67,22.47,24.96
Other Long-Term Assets,36.06,37.83,35.04,23.29,27.27,24.86,23.39,22.78,22.38,32.74,35.07
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.81,6.44,6.04,6.43,6.69,6.37,5.6,5.73,6.5,6.21,7.03
Short-Term Debt,2.23,7.17,,4.48,5.13,3.47,3.85,5.27,3.97,5.57,4.54
Taxes Payable,,,,0.58,0.5,0.57,0.62,0.48,0.54,,
Accrued Liabilities,2.86,2.78,2.89,3.34,2.79,2.75,2.8,3.01,2.92,2.31,2.41
Other Short-Term Liabilities,6.42,7.88,9.63,6.14,6.07,6.53,6.71,7.48,7.25,11.56,6.55
Total Current Liabilities,17.32,24.28,18.56,20.97,21.19,19.69,19.58,21.97,21.17,25.65,20.53
Long-Term Debt,29.47,30.18,34.44,23.65,23.54,24.81,23.78,22.83,25.72,29.24,31.13
Other Long-Term Liabilities,16.73,17.75,17.66,16.14,15.84,17.11,14.28,15.49,16.55,18.64,16.5
Total Liabilities,63.52,72.21,70.66,60.76,60.57,61.62,57.64,60.29,63.44,73.53,68.15
Total Stockholders' Equity,36.48,27.79,29.34,39.24,39.43,38.38,42.36,39.71,36.56,26.47,31.85
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
