Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3879.0,3307.0,2627.0,3487.0,3982.0,4050.0,4645.0,5147.0,5122.0,4734.0,4979.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,994.0,747.0,484.0,589.0,882.0,843.0,1120.0,1277.0,1358.0,1176.0,1227.0
Operating Margin %,25.6,22.6,18.4,16.9,22.2,20.8,24.1,24.8,26.5,24.8,24.6
Net Income USD Mil,674.0,481.0,323.0,465.0,730.0,677.0,940.0,988.0,968.0,854.0,946.0
Earnings Per Share USD,1.64,1.21,0.76,1.01,1.57,1.49,2.1,2.27,2.26,2.06,2.31
Dividends USD,0.37,0.52,0.41,0.43,0.48,0.64,0.85,0.97,1.06,1.11,1.14
Payout Ratio % *,22.6,43.0,53.6,42.8,31.0,43.0,43.6,44.4,43.1,55.3,49.4
Shares Mil,397.0,398.0,424.0,463.0,464.0,454.0,433.0,423.0,418.0,402.0,397.0
Book Value Per Share * USD,15.52,14.78,16.02,17.96,17.82,19.29,20.14,19.6,19.38,19.61,20.42
Operating Cash Flow USD Mil,914.0,495.0,362.0,379.0,964.0,819.0,780.0,1200.0,1054.0,129.0,560.0
Cap Spending USD Mil,-37.0,-84.0,-40.0,-89.0,-107.0,-99.0,-88.0,-133.0,-125.0,-147.0,-129.0
Free Cash Flow USD Mil,877.0,412.0,323.0,290.0,857.0,720.0,692.0,1067.0,929.0,-18.0,430.0
Free Cash Flow Per Share * USD,2.14,1.05,0.76,0.63,1.18,1.59,2.21,2.51,1.39,2.22,
Working Capital USD Mil,554.0,276.0,823.0,1010.0,860.0,1194.0,725.0,-2812.0,-3515.0,2179.0,
