Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,3181.0,3230.0,3608.0,4159.0,4763.0,5075.0,4806.0,4192.0,4492.0,4488.0,4740.0
Gross Margin %,75.7,71.9,73.0,72.7,72.8,72.9,68.6,69.4,67.9,68.6,66.1
Operating Income USD Mil,1147.0,972.0,1150.0,1305.0,1512.0,1525.0,1120.0,618.0,654.0,787.0,600.0
Operating Margin %,36.1,30.1,31.9,31.4,31.7,30.0,23.3,14.7,14.5,17.5,12.7
Net Income USD Mil,783.0,623.0,735.0,880.0,1039.0,1034.0,781.0,402.0,461.0,591.0,455.0
Earnings Per Share USD,2.17,1.91,2.33,2.92,3.53,3.61,2.79,1.45,1.65,2.09,1.61
Dividends USD,,0.07,0.38,0.68,0.97,1.24,1.35,1.35,1.35,1.35,1.35
Payout Ratio % *,,3.9,16.0,23.1,26.9,32.4,41.2,79.8,96.4,72.9,83.9
Shares Mil,360.0,326.0,316.0,302.0,294.0,286.0,280.0,277.0,279.0,283.0,284.0
Book Value Per Share * USD,4.5,5.33,4.93,5.49,6.8,7.96,8.71,9.18,9.44,10.29,10.34
Operating Cash Flow USD Mil,923.0,809.0,991.0,1033.0,1222.0,1414.0,985.0,937.0,759.0,853.0,788.0
Cap Spending USD Mil,-175.0,-240.0,-81.0,-148.0,-184.0,-241.0,-220.0,-210.0,-405.0,-283.0,-258.0
Free Cash Flow USD Mil,749.0,569.0,910.0,886.0,1037.0,1173.0,766.0,728.0,353.0,571.0,531.0
Free Cash Flow Per Share * USD,2.08,1.75,2.88,2.94,3.35,3.79,2.85,3.13,1.21,1.64,
Working Capital USD Mil,935.0,937.0,774.0,859.0,1086.0,1348.0,1042.0,1671.0,1346.0,3200.0,
