Key Financials DKK,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue DKK Mil,19967.0,25285.0,23134.0,20186.0,20538.0,26284.0,25482.0,20499.0,19682.0,18192.0,18582.0
Gross Margin %,21.4,22.2,23.4,25.8,25.6,24.8,19.0,25.0,25.1,25.2,25.1
Operating Income DKK Mil,1824.0,2409.0,2261.0,1872.0,2038.0,2041.0,-270.0,1416.0,1141.0,881.0,1051.0
Operating Margin %,9.1,9.5,9.8,9.3,9.9,7.8,-1.1,6.9,5.8,4.8,5.7
Net Income DKK Mil,1294.0,1515.0,1670.0,1284.0,1427.0,1306.0,-776.0,812.0,421.0,518.0,442.0
Earnings Per Share DKK,24.6,28.8,31.9,24.4,25.6,25.0,-15.3,16.4,8.6,10.6,9.0
Dividends DKK,7.0,7.0,,5.0,9.0,9.0,9.0,2.0,9.0,4.0,6.0
Payout Ratio % *,28.5,28.5,25.2,18.9,39.8,34.2,,27.0,71.4,45.9,50.0
Shares Mil,53.0,53.0,52.0,53.0,53.0,52.0,51.0,49.0,49.0,49.0,50.0
Book Value Per Share * DKK,79.02,79.02,95.35,144.17,154.73,176.35,146.72,155.65,159.37,165.68,165.6
Operating Cash Flow DKK Mil,1493.0,2324.0,2470.0,1335.0,1148.0,1720.0,-157.0,1298.0,538.0,1447.0,1127.0
Cap Spending DKK Mil,-369.0,-785.0,-336.0,-626.0,-789.0,-1105.0,-697.0,-507.0,-211.0,-262.0,-268.0
Free Cash Flow DKK Mil,1124.0,1539.0,2134.0,709.0,359.0,615.0,-854.0,791.0,327.0,1185.0,859.0
Free Cash Flow Per Share * DKK,21.35,21.35,29.29,32.3,,-10.16,4.72,5.86,14.44,15.08,
Working Capital DKK Mil,1212.0,883.0,1492.0,2044.0,1645.0,2593.0,2086.0,2094.0,2889.0,2493.0,
