Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,10.14,12.96,19.83,14.64,17.86,16.22,20.15,14.58,15.97,15.36,15.36
Accounts Receivable,7.68,6.97,10.42,10.15,9.0,12.18,12.92,10.38,7.51,10.64,10.64
Inventory,9.61,8.62,12.05,14.1,12.65,13.86,10.91,9.69,10.49,8.84,8.84
Other Current Assets,0.7,0.65,0.81,0.64,0.68,4.35,1.56,0.94,0.51,0.42,0.42
Total Current Assets,28.14,29.19,43.1,39.53,40.19,46.61,45.54,35.6,34.48,35.25,35.25
Net PP&E,65.61,61.82,44.93,51.21,49.57,39.89,38.59,43.71,53.33,54.99,54.99
Intangibles,3.14,3.0,2.2,2.81,2.59,2.02,2.08,1.86,1.68,4.57,4.57
Other Long-Term Assets,3.11,5.99,9.77,6.45,7.65,11.48,13.79,18.82,10.51,5.19,5.19
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.45,4.59,5.44,,5.71,5.48,4.97,4.22,4.31,3.77,3.77
Short-Term Debt,2.05,3.7,4.85,0.95,1.56,8.29,7.28,4.51,1.37,2.56,2.56
Taxes Payable,,0.28,0.35,,0.17,0.25,0.32,0.35,0.15,0.46,0.46
Accrued Liabilities,3.83,3.46,3.16,,2.02,1.4,3.28,1.33,1.05,1.71,1.71
Other Short-Term Liabilities,1.58,4.49,4.59,15.86,6.18,6.16,5.54,5.76,10.69,6.59,6.59
Total Current Liabilities,11.9,16.52,18.39,16.81,15.65,21.58,21.38,16.17,17.56,15.1,15.1
Long-Term Debt,18.25,23.34,11.22,12.62,21.2,23.29,22.02,25.9,29.51,25.58,25.58
Other Long-Term Liabilities,23.85,19.51,15.81,13.16,9.4,7.32,8.72,6.98,9.07,6.63,6.63
Total Liabilities,54.0,59.37,45.42,42.58,46.26,52.18,52.12,49.05,56.14,47.3,47.3
Total Stockholders' Equity,46.0,40.63,54.58,57.42,53.74,47.82,47.88,50.95,43.86,52.7,52.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
