Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,25470.0,26311.0,20858.0,27960.0,30580.0,28680.0,29342.0,27073.0,20455.0,21378.0,23564.0
Gross Margin %,44.7,40.9,26.7,43.0,43.3,9.9,23.9,13.9,-5.0,20.3,
Operating Income USD Mil,8929.0,8972.0,4436.0,11067.0,9439.0,-1600.0,2407.0,138.0,-4112.0,1666.0,4370.0
Operating Margin %,35.1,34.1,21.3,39.6,30.9,-5.6,8.2,0.5,-20.1,7.8,18.5
Net Income USD Mil,7304.0,5215.0,2425.0,6544.0,6169.0,-1470.0,-961.0,-2513.0,-5624.0,1594.0,3822.0
Earnings Per Share USD,5.5,4.29,1.98,5.18,4.89,-1.17,-0.75,-1.96,-4.36,1.23,2.95
Dividends USD,1.25,1.28,,0.25,0.7,0.78,0.85,0.85,0.83,,
Payout Ratio % *,31.3,29.9,,4.8,9.5,,,,,,
Shares Mil,1327.0,1215.0,1253.0,1281.0,1282.0,1254.0,1281.0,1284.0,1289.0,1300.0,1306.0
Book Value Per Share * USD,8.57,10.49,12.27,16.81,18.49,16.75,14.87,14.95,10.54,9.53,11.14
Operating Cash Flow USD Mil,9773.0,6715.0,2730.0,6635.0,9362.0,5562.0,6792.0,6111.0,3977.0,5399.0,6559.0
Cap Spending USD Mil,-3931.0,-5146.0,-4607.0,-5280.0,-6203.0,-5607.0,-6125.0,-6131.0,-4253.0,-2440.0,-2080.0
Free Cash Flow USD Mil,5842.0,1569.0,-1877.0,1355.0,3159.0,-45.0,667.0,-20.0,-276.0,2959.0,4479.0
Free Cash Flow Per Share * USD,2.22,0.88,-0.93,0.69,1.08,-0.02,0.27,0.37,-0.1,0.37,
Working Capital USD Mil,-1206.0,-3624.0,3761.0,6796.0,11124.0,11475.0,7808.0,7581.0,7958.0,5924.0,
