Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,52.73,57.4,48.26,41.9,47.31,40.99,33.06,40.97,43.93,16.95,16.32
Accounts Receivable,5.51,3.66,5.48,6.11,5.52,5.97,5.96,5.73,5.21,6.22,6.77
Inventory,4.95,5.43,4.63,6.09,7.05,6.29,6.46,5.85,5.51,5.43,5.67
Other Current Assets,5.18,5.48,5.65,5.71,5.49,4.82,2.94,3.19,0.96,1.39,1.57
Total Current Assets,68.37,71.97,64.02,59.8,65.37,58.07,48.42,55.74,55.62,29.99,30.33
Net PP&E,20.79,21.96,19.59,18.21,16.75,13.36,13.08,12.16,10.95,8.89,8.97
Intangibles,1.73,2.56,3.01,5.19,5.97,20.81,17.74,22.5,29.08,57.85,52.2
Other Long-Term Assets,9.11,3.51,13.37,16.8,11.91,7.76,20.77,9.6,4.35,3.27,8.49
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.56,1.21,1.76,2.31,1.63,1.96,1.82,1.82,1.42,1.94,2.27
Short-Term Debt,,,,,,,0.43,,,0.65,0.07
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,2.24,1.75,2.39,4.44,2.88,3.3,2.38,2.11,2.14,2.76,2.75
Other Short-Term Liabilities,3.8,3.47,3.93,4.72,3.53,3.61,3.63,3.47,3.29,3.81,4.03
Total Current Liabilities,7.61,6.43,8.08,11.47,8.04,8.87,8.26,7.4,6.86,9.16,9.11
Long-Term Debt,45.78,50.35,13.54,11.7,11.51,25.53,24.66,38.21,44.6,37.73,37.39
Other Long-Term Liabilities,5.37,2.3,17.44,15.77,15.9,15.4,14.57,11.61,9.91,10.55,9.47
Total Liabilities,58.75,59.08,39.06,38.94,35.45,49.8,47.5,57.23,61.37,57.45,55.98
Total Stockholders' Equity,41.25,40.92,60.94,61.06,64.55,50.2,52.5,42.77,38.63,42.55,44.02
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
