Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,15.84,11.38,23.96,26.01,33.89,37.88,30.19,15.29,17.2,6.2,10.91
Accounts Receivable,11.17,9.83,9.44,13.21,13.41,11.91,12.8,7.45,9.62,4.58,4.84
Inventory,7.18,10.05,8.22,8.76,7.93,6.78,8.35,4.95,4.95,2.8,2.87
Other Current Assets,2.56,1.82,2.23,2.41,1.72,2.52,1.9,8.86,3.87,0.68,1.29
Total Current Assets,36.75,33.08,43.86,50.39,56.95,59.08,53.24,36.56,35.64,14.26,19.91
Net PP&E,14.97,15.98,13.4,13.03,12.92,17.58,19.36,11.04,13.78,5.02,5.82
Intangibles,46.08,47.57,41.52,34.54,27.64,21.03,25.86,49.69,46.74,79.44,73.35
Other Long-Term Assets,2.2,3.37,1.22,2.04,2.49,2.31,1.55,2.72,3.83,1.28,0.92
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.94,9.3,7.82,9.18,9.04,8.67,8.14,4.91,5.83,2.52,2.32
Short-Term Debt,,,18.48,10.66,,,,0.44,0.43,0.91,
Taxes Payable,,,,,0.41,0.56,0.44,0.54,0.75,,
Accrued Liabilities,1.74,1.71,1.27,4.36,4.37,2.31,3.07,2.09,2.36,1.03,1.09
Other Short-Term Liabilities,4.77,6.52,4.57,1.99,0.49,0.56,0.73,1.71,1.2,1.69,1.03
Total Current Liabilities,16.45,17.53,32.13,26.19,14.31,12.09,12.39,9.68,10.56,6.16,4.44
Long-Term Debt,46.28,37.57,11.68,,,,,52.07,36.85,26.39,27.18
Other Long-Term Liabilities,1.74,3.21,3.4,4.03,3.68,3.39,3.1,7.33,8.08,29.64,28.73
Total Liabilities,64.48,58.31,47.21,30.23,17.99,15.48,15.49,69.09,55.49,62.19,60.35
Total Stockholders' Equity,35.52,41.69,52.79,69.77,82.01,84.52,84.51,30.91,44.51,37.81,39.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
