Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,14154.0,13632.0,15075.0,16006.0,16834.0,17936.0,19261.0,19171.0,18987.0,31469.0,32396.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,3153.0,1567.0,3077.0,3667.0,2042.0,2976.0,4238.0,3487.0,3296.0,4950.0,4440.0
Operating Margin %,22.3,11.5,20.4,22.9,12.1,16.6,22.0,18.2,17.4,15.7,13.7
Net Income USD Mil,2578.0,1197.0,2549.0,3108.0,1540.0,2706.0,3758.0,2853.0,2834.0,4135.0,3938.0
Earnings Per Share USD,7.66,3.5,7.55,9.11,4.52,7.89,10.92,8.42,8.62,8.87,8.37
Dividends USD,,,,0.66,1.22,1.94,1.51,,,0.67,
Payout Ratio % *,,,,,,,,,,8.9,
Shares Mil,337.0,335.0,338.0,341.0,341.0,343.0,344.0,339.0,329.0,466.0,472.0
Book Value Per Share * USD,33.06,,,,,,,,,98.2,92.6
Operating Cash Flow USD Mil,4701.0,4101.0,3335.0,3546.0,3470.0,3995.0,4022.0,4496.0,3864.0,5292.0,4866.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,4701.0,4101.0,3335.0,3546.0,3470.0,3995.0,4022.0,4496.0,3864.0,5292.0,4866.0
Free Cash Flow Per Share * USD,9.5,,,,,,,,,11.0,
Working Capital USD Mil,,,,,,,,,,,
