Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.38,6.71,5.5,6.63,7.82,2.48,4.89,6.73,7.37,5.18,4.36
Accounts Receivable,14.76,7.5,9.36,9.6,8.99,7.66,8.17,7.48,6.84,9.25,9.05
Inventory,2.49,2.31,2.44,1.99,1.78,2.09,1.73,1.87,2.27,2.01,2.43
Other Current Assets,0.91,0.74,0.97,6.69,0.63,2.55,1.52,8.58,5.17,3.11,1.17
Total Current Assets,23.54,17.27,18.28,24.91,19.22,14.78,16.31,24.66,21.65,19.55,17.0
Net PP&E,71.96,77.68,76.07,69.68,76.08,81.08,80.38,70.62,72.84,75.01,77.37
Intangibles,,,,,,,,,,,
Other Long-Term Assets,4.51,5.05,5.65,5.41,4.69,4.13,3.31,4.72,5.52,5.44,5.63
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.67,7.96,7.64,8.86,8.83,7.33,7.95,9.29,7.07,9.11,9.01
Short-Term Debt,0.13,1.68,0.54,,,0.93,,,3.34,,1.21
Taxes Payable,,0.38,0.06,0.32,0.18,0.02,0.52,0.74,,,
Accrued Liabilities,3.83,4.48,5.29,4.57,4.06,3.06,3.68,4.62,5.09,5.65,5.13
Other Short-Term Liabilities,1.53,0.27,0.24,1.17,0.15,,,,0.25,,
Total Current Liabilities,17.16,14.77,13.77,14.92,13.24,11.35,12.15,14.65,15.75,14.76,15.35
Long-Term Debt,4.77,4.93,5.78,9.75,9.78,10.94,9.99,12.15,15.85,22.78,22.5
Other Long-Term Liabilities,15.58,14.57,14.69,13.37,14.33,15.39,15.76,11.05,12.34,12.6,12.27
Total Liabilities,37.5,34.28,34.25,38.05,37.35,37.68,37.9,37.86,43.94,50.13,50.13
Total Stockholders' Equity,62.5,65.72,65.75,61.95,62.65,62.32,62.1,62.14,56.06,49.87,49.87
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
