Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,650.0,653.0,882.0,1152.0,1377.0,1481.0,1732.0,1920.0,1995.0,2090.0,2090.0
Gross Margin %,77.1,78.1,80.5,81.9,82.9,82.9,82.1,82.7,83.1,83.1,83.1
Operating Income USD Mil,99.0,122.0,230.0,351.0,426.0,431.0,494.0,553.0,547.0,564.0,564.0
Operating Margin %,15.3,18.7,26.1,30.4,31.0,29.1,28.5,28.8,27.4,27.0,27.0
Net Income USD Mil,74.0,92.0,151.0,241.0,275.0,277.0,311.0,365.0,366.0,421.0,421.0
Earnings Per Share USD,0.89,1.14,1.86,2.96,3.45,3.5,4.09,5.03,5.38,6.5,6.5
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,83.0,80.0,81.0,81.0,80.0,79.0,76.0,73.0,68.0,65.0,65.0
Book Value Per Share * USD,,,,,,,,322.17,,349.56,376.92
Operating Cash Flow USD Mil,194.0,202.0,314.0,417.0,495.0,500.0,549.0,685.0,712.0,740.0,740.0
Cap Spending USD Mil,-28.0,-12.0,-13.0,-36.0,-30.0,-27.0,-23.0,-67.0,-68.0,-43.0,-43.0
Free Cash Flow USD Mil,166.0,190.0,301.0,381.0,465.0,473.0,526.0,617.0,643.0,698.0,698.0
Free Cash Flow Per Share * USD,,,,,,,,142.99,,187.75,
Working Capital USD Mil,137.0,245.0,319.0,391.0,310.0,265.0,362.0,433.0,445.0,525.0,
