Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,3452.0,4053.0,3574.0,3123.0,2524.0,2226.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,,,,,,1437.0,2087.0,1818.0,1580.0,1108.0,824.0
Operating Margin %,,,,,,41.6,51.5,50.9,50.6,43.9,37.0
Net Income USD Mil,,,,,,939.0,1418.0,1137.0,984.0,681.0,522.0
Earnings Per Share USD,,,,,,1.9,3.12,2.66,2.58,2.12,1.81
Dividends USD,,,,,,,,0.45,0.64,0.64,0.64
Payout Ratio % *,,,,,,,,11.9,25.5,26.5,35.5
Shares Mil,,,,,,483.0,449.0,425.0,382.0,322.0,289.0
Book Value Per Share * USD,,,,,,,,10.34,11.13,12.75,13.41
Operating Cash Flow USD Mil,,,,,,2636.0,2000.0,1664.0,1910.0,1357.0,1157.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,,,,,,2636.0,2000.0,1664.0,1910.0,1357.0,1157.0
Free Cash Flow Per Share * USD,,,,,,,,5.04,3.82,4.64,
Working Capital USD Mil,,,,,,,,,,,
