Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,714.0,762.0,828.0,1206.0,1700.0,1924.0,2373.0,2707.0,3171.0,3504.0,3504.0
Gross Margin %,54.1,56.4,57.2,54.8,55.6,54.5,53.4,53.6,54.5,56.6,56.6
Operating Income USD Mil,299.0,335.0,363.0,487.0,700.0,749.0,928.0,1074.0,1268.0,1480.0,1480.0
Operating Margin %,41.9,44.0,43.9,40.4,41.2,38.9,39.1,39.7,40.0,42.2,42.2
Net Income USD Mil,133.0,163.0,163.0,172.0,325.0,303.0,307.0,447.0,586.0,597.0,597.0
Earnings Per Share USD,2.65,3.1,2.52,3.17,5.97,2.39,3.16,7.84,10.39,7.88,7.88
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,50.0,53.0,53.0,53.0,54.0,55.0,57.0,57.0,56.0,56.0,56.0
Book Value Per Share * USD,13.45,16.73,12.0,16.11,21.43,15.22,-30.36,-21.78,-15.15,-36.5,-56.8
Operating Cash Flow USD Mil,190.0,197.0,197.0,261.0,414.0,470.0,541.0,521.0,669.0,789.0,789.0
Cap Spending USD Mil,-11.0,-13.0,-13.0,-18.0,-25.0,-36.0,-34.0,-55.0,-44.0,-71.0,-71.0
Free Cash Flow USD Mil,179.0,184.0,184.0,243.0,389.0,435.0,507.0,466.0,625.0,718.0,718.0
Free Cash Flow Per Share * USD,3.56,3.65,3.48,4.55,6.57,7.19,9.04,9.11,9.71,12.05,
Working Capital USD Mil,335.0,395.0,470.0,663.0,817.0,998.0,1104.0,1174.0,2178.0,1263.0,
