Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,38334.0,37586.0,35127.0,43623.0,53999.0,53341.0,52708.0,55870.0,55355.0,59387.0,62082.0
Gross Margin %,51.9,55.5,55.7,65.3,62.5,62.1,59.8,63.7,62.6,60.9,61.9
Operating Income USD Mil,8216.0,8954.0,5711.0,15588.0,17477.0,14638.0,12291.0,15347.0,14002.0,12874.0,17067.0
Operating Margin %,21.4,23.8,16.3,35.7,32.4,27.4,23.3,27.5,25.3,21.7,27.5
Net Income USD Mil,6976.0,5292.0,4369.0,11464.0,12942.0,11005.0,9620.0,11704.0,11420.0,10316.0,13850.0
Earnings Per Share USD,1.18,0.92,0.77,2.01,2.39,2.13,1.89,2.31,2.33,2.12,2.85
Dividends USD,0.49,0.6,0.56,0.8,0.78,0.87,0.9,0.9,0.96,1.04,1.06
Payout Ratio % *,41.3,65.5,72.7,39.8,31.6,40.8,48.6,42.8,40.7,47.9,37.3
Shares Mil,5936.0,5748.0,5645.0,5696.0,5411.0,5160.0,5097.0,5056.0,4894.0,4875.0,4858.0
Book Value Per Share * USD,80.64,97.19,98.7,111.21,129.27,135.01,146.05,174.16,210.08,276.64,290.88
Operating Cash Flow USD Mil,12625.0,10926.0,11170.0,16692.0,20963.0,18884.0,20776.0,20418.0,19017.0,21808.0,23019.0
Cap Spending USD Mil,-5000.0,-5197.0,-4515.0,-5207.0,-10764.0,-11842.0,-10747.0,-10197.0,-7446.0,-9625.0,-11239.0
Free Cash Flow USD Mil,7625.0,5729.0,6655.0,11485.0,10199.0,7042.0,10029.0,10221.0,11571.0,12183.0,11780.0
Free Cash Flow Per Share * USD,14.02,13.78,15.41,25.0,25.61,17.79,26.22,28.18,42.94,44.85,
Working Capital USD Mil,15314.0,12053.0,13566.0,22284.0,13844.0,18460.0,18516.0,11711.0,24689.0,15206.0,
