Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,,,,,,,27.0,29.0,36.0,39.0
Gross Margin %,,,,,,,,64.7,54.5,58.8,56.3
Operating Income GBP Mil,,,,,,,,-8.0,-18.0,-18.0,-26.0
Operating Margin %,,,,,,,,-31.4,-64.7,-50.0,-66.4
Net Income GBP Mil,,,,,,,,-13.0,-20.0,-18.0,-26.0
Earnings Per Share GBP,,,,,,,,-0.1,-0.16,-0.19,-0.17
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,130.0,130.0,98.0,131.0
Book Value Per Share * GBP,,,,,,,,,,0.96,0.81
Operating Cash Flow GBP Mil,,,,,,,,-9.0,-13.0,-16.0,-22.0
Cap Spending GBP Mil,,,,,,,,-3.0,-2.0,-3.0,-5.0
Free Cash Flow GBP Mil,,,,,,,,-12.0,-15.0,-20.0,-27.0
Free Cash Flow Per Share * GBP,,,,,,,,,,-0.12,
Working Capital GBP Mil,,,,,,,,-4.0,0.0,43.0,
