Key Financials CNY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue CNY Mil,153.0,288.0,140.0,328.0,214.0,979.0,576.0,11.0,8.0,479.0,875.0
Gross Margin %,18.3,4.5,3.8,-15.1,5.3,35.9,38.6,2.0,2.7,17.8,19.1
Operating Income CNY Mil,-30.0,-3.0,-54.0,-107.0,-19.0,313.0,200.0,-18.0,-36.0,52.0,133.0
Operating Margin %,-19.7,-1.0,-38.4,-32.7,-8.7,32.0,34.7,-162.6,-455.2,10.9,15.3
Net Income CNY Mil,-113.0,-19.0,-63.0,-31.0,23.0,103.0,157.0,50.0,-34.0,5.0,61.0
Earnings Per Share CNY,-0.26,-0.04,-0.1,-0.04,0.02,0.08,0.12,0.04,-0.03,,0.04
Dividends CNY,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,426.0,429.0,613.0,1337.0,1336.0,1336.0,1336.0,1336.0,1120.0,1524.0,1524.0
Book Value Per Share * CNY,,,,0.02,0.14,0.01,0.05,0.05,0.03,0.04,0.05
Operating Cash Flow CNY Mil,-22.0,10.0,-24.0,-170.0,355.0,256.0,190.0,-93.0,178.0,209.0,74.0
Cap Spending CNY Mil,-1.0,-3.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-2.0,-0.0,-0.0
Free Cash Flow CNY Mil,-23.0,7.0,-24.0,-170.0,355.0,256.0,189.0,-93.0,177.0,209.0,74.0
Free Cash Flow Per Share * CNY,,,,,0.02,0.01,0.04,,,0.03,
Working Capital CNY Mil,-170.0,-182.0,423.0,650.0,339.0,231.0,307.0,930.0,700.0,587.0,
