Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,8.0,6.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,16.0,13.7,21.7,-13.1,-0.4,0.0,95.5,96.4,100.0,100.0,100.0
Operating Income EUR Mil,-2.0,-6.0,-2.0,-4.0,-1.0,-3.0,-14.0,0.0,-1.0,-1.0,-1.0
Operating Margin %,-24.1,-95.8,-26.1,-398.6,-9.8,-99.1,,69.3,,,
Net Income EUR Mil,-2.0,-6.0,-3.0,-5.0,-3.0,-3.0,-15.0,5.0,-1.0,-2.0,-2.0
Earnings Per Share EUR,-5.5,-15.0,-10.0,-10.0,-0.45,-0.18,-0.61,0.07,-0.01,-0.01,-0.01
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,0.0,0.0,1.0,1.0,5.0,15.0,25.0,43.0,70.0,118.0,118.0
Book Value Per Share * EUR,,8.37,6.01,1.34,0.97,0.19,0.02,-0.03,,,0.01
Operating Cash Flow EUR Mil,,-8.0,-3.0,-3.0,6.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending EUR Mil,,-1.0,-0.0,-1.0,-1.0,-1.0,-3.0,-0.0,-0.0,,
Free Cash Flow EUR Mil,,-8.0,-3.0,-4.0,5.0,-1.0,-3.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * EUR,,-18.59,-5.13,-7.51,0.48,-0.15,-0.1,-0.05,-0.01,-0.01,
Working Capital EUR Mil,,4.0,4.0,3.0,-6.0,-5.0,-12.0,-10.0,-7.0,-3.0,
