Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,13120.0,13583.0,13032.0,13325.0,12886.0,12188.0,12354.0,12919.0,12554.0,12075.0,12282.0
Gross Margin %,44.9,44.2,52.1,56.8,61.2,68.1,67.2,65.1,70.4,74.4,74.2
Operating Income USD Mil,1847.0,1920.0,1899.0,2120.0,2239.0,2339.0,2244.0,2209.0,2427.0,2575.0,2667.0
Operating Margin %,14.1,14.1,14.6,15.9,17.4,19.2,18.2,17.1,19.3,21.3,21.7
Net Income USD Mil,929.0,1207.0,879.0,1003.0,1062.0,1141.0,1062.0,1092.0,1193.0,1245.0,1269.0
Earnings Per Share USD,3.47,4.37,3.14,3.47,3.57,3.86,3.61,3.71,4.05,4.12,3.97
Dividends USD,2.32,2.34,2.36,2.38,2.4,2.42,2.46,2.52,2.6,2.68,2.74
Payout Ratio % *,67.0,69.6,75.2,68.6,64.6,62.6,69.8,59.0,69.2,65.7,69.0
Shares Mil,267.0,274.0,276.0,285.0,294.0,295.0,294.0,294.0,294.0,301.0,307.0
Book Value Per Share * USD,33.35,35.44,37.21,38.66,39.83,40.53,41.54,43.39,44.51,46.78,48.71
Operating Cash Flow USD Mil,1555.0,629.0,2466.0,2381.0,3137.0,2599.0,2552.0,2831.0,3277.0,3459.0,3350.0
Cap Spending USD Mil,-1934.0,-2326.0,-2193.0,-2029.0,-1967.0,-2069.0,-2538.0,-2419.0,-3054.0,-3680.0,-3623.0
Free Cash Flow USD Mil,-379.0,-1697.0,273.0,352.0,1170.0,530.0,14.0,412.0,223.0,-221.0,-273.0
Free Cash Flow Per Share * USD,-1.42,-6.2,0.99,1.23,5.21,1.8,-0.69,1.91,1.6,0.24,
Working Capital USD Mil,-1290.0,114.0,291.0,1141.0,651.0,-494.0,-839.0,73.0,-884.0,-437.0,
