Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,,5.38,7.28,5.63,3.93,3.49,1.2
Accounts Receivable,,,,,4.19,4.67,4.53,4.71,1.18,0.75,1.14
Inventory,,,,,9.02,8.26,6.98,7.74,2.13,2.23,2.66
Other Current Assets,,,,,1.98,2.36,2.41,2.8,0.71,0.8,1.03
Total Current Assets,,,,,15.19,20.67,21.2,20.88,7.95,7.27,6.02
Net PP&E,,,,,19.86,18.02,17.78,18.27,5.31,5.55,5.78
Intangibles,,,,,64.75,59.91,59.33,59.43,85.52,85.84,86.93
Other Long-Term Assets,,,,,0.2,1.39,1.69,1.42,1.22,1.34,1.28
Total Assets,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,6.72,6.67,6.69,6.7,2.31,3.32,3.29
Short-Term Debt,,,,,0.04,0.02,,6.12,,2.23,2.67
Taxes Payable,,,,,,,,,0.34,0.21,0.14
Accrued Liabilities,,,,,3.79,5.02,4.61,3.77,1.29,1.1,0.79
Other Short-Term Liabilities,,,,,1.39,3.75,3.44,4.21,1.7,1.03,0.93
Total Current Liabilities,,,,,11.94,15.46,14.73,20.8,5.64,7.89,7.82
Long-Term Debt,,,,,0.13,42.72,43.1,37.6,20.45,24.66,23.57
Other Long-Term Liabilities,,,,,10.87,26.51,19.76,22.58,27.0,19.84,19.66
Total Liabilities,,,,,22.94,84.69,77.59,80.98,53.09,52.39,51.05
Total Stockholders' Equity,,,,,77.06,15.31,22.41,19.02,46.91,47.61,48.95
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
