Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,8763.0,13227.0,13101.0,14001.0,12760.0,11988.0,12351.0,12891.0,13301.0,13508.0,13938.0
Gross Margin %,28.4,26.3,27.2,28.1,27.3,28.8,29.4,30.3,30.1,30.9,30.9
Operating Income USD Mil,1057.0,-2574.0,872.0,1261.0,438.0,1072.0,1105.0,1405.0,1458.0,1573.0,1601.0
Operating Margin %,12.1,-19.5,6.7,9.0,3.4,8.9,8.9,10.9,11.0,11.6,11.5
Net Income USD Mil,3966.0,-2625.0,451.0,642.0,343.0,1019.0,618.0,932.0,665.0,1476.0,1042.0
Earnings Per Share USD,13.43,-8.73,1.37,1.89,1.01,3.28,2.07,3.4,2.48,5.65,4.0
Dividends USD,0.72,0.72,0.5,0.28,0.43,0.64,0.84,1.0,1.16,1.36,1.65
Payout Ratio % *,29.0,,35.5,12.6,36.5,19.4,29.3,34.9,45.1,22.2,41.5
Shares Mil,295.0,303.0,329.0,340.0,339.0,311.0,298.0,274.0,268.0,261.0,260.0
Book Value Per Share * USD,29.03,20.9,22.15,24.27,25.54,24.18,25.1,23.86,21.96,26.12,27.12
Operating Cash Flow USD Mil,896.0,330.0,1734.0,695.0,1186.0,1181.0,1170.0,973.0,851.0,1500.0,1257.0
Cap Spending USD Mil,-120.0,-306.0,-204.0,-180.0,-243.0,-263.0,-242.0,-234.0,-249.0,-182.0,-205.0
Free Cash Flow USD Mil,776.0,24.0,1530.0,515.0,943.0,918.0,928.0,740.0,602.0,1318.0,1051.0
Free Cash Flow Per Share * USD,2.63,0.08,4.65,1.52,2.1,2.96,3.71,2.03,1.76,5.71,
Working Capital USD Mil,4465.0,-112.0,849.0,1145.0,1058.0,781.0,2308.0,2041.0,961.0,1989.0,
