Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,,,,,,,,403.0,415.0,441.0,444.0
Gross Margin %,,,,,,,,33.1,33.0,36.9,36.2
Operating Income THB Mil,,,,,,,,33.0,16.0,53.0,54.0
Operating Margin %,,,,,,,,8.3,3.9,12.1,12.2
Net Income THB Mil,,,,,,,,-1.0,12.0,43.0,45.0
Earnings Per Share THB,,,,,,,,-102.12,0.2,0.32,0.26
Dividends THB,,,,,,,,,,,0.12
Payout Ratio % *,,,,,,,,,,,46.2
Shares Mil,,,,,,,,0.0,62.0,133.0,200.0
Book Value Per Share * THB,,,,,,,,,,,1.99
Operating Cash Flow THB Mil,,,,,,,,55.0,8.0,74.0,70.0
Cap Spending THB Mil,,,,,,,,-61.0,-71.0,-16.0,-39.0
Free Cash Flow THB Mil,,,,,,,,-6.0,-63.0,58.0,30.0
Free Cash Flow Per Share * THB,,,,,,,,,,,
Working Capital THB Mil,,,,,,,,-69.0,-44.0,-29.0,
