Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5989.0,6885.0,8952.0,8849.0,9079.0,8422.0,11295.0,15868.0,14674.0,12351.0,12155.0
Gross Margin %,43.6,47.7,40.5,31.4,25.7,27.1,28.0,25.6,26.5,30.7,28.5
Operating Income USD Mil,1560.0,2273.0,2159.0,1308.0,635.0,350.0,343.0,1271.0,-4040.0,527.0,360.0
Operating Margin %,26.0,33.0,24.1,14.8,7.0,4.2,3.0,8.0,-27.5,4.3,3.0
Net Income USD Mil,586.0,1225.0,942.0,477.0,197.0,295.0,-386.0,134.0,-6382.0,-774.0,-1606.0
Earnings Per Share USD,2.01,4.43,3.44,1.84,0.78,1.22,-1.22,0.23,-19.46,-2.22,-5.08
Dividends USD,,,,,,0.18,0.45,0.54,0.58,0.23,0.12
Payout Ratio % *,,,,,,7.7,21.6,,,,
Shares Mil,288.0,275.0,271.0,254.0,241.0,234.0,323.0,339.0,329.0,316.0,318.0
Book Value Per Share * USD,19.48,26.84,29.67,32.59,34.15,31.04,31.03,29.52,29.36,9.64,3.74
Operating Cash Flow USD Mil,1517.0,1434.0,2106.0,1623.0,1166.0,1149.0,1270.0,1510.0,1309.0,2072.0,1137.0
Cap Spending USD Mil,-642.0,-907.0,-734.0,-777.0,-2329.0,-3397.0,-1987.0,-925.0,-1283.0,-1244.0,-1360.0
Free Cash Flow USD Mil,875.0,527.0,1372.0,846.0,-1163.0,-2248.0,-717.0,585.0,26.0,828.0,-223.0
Free Cash Flow Per Share * USD,3.04,1.92,5.06,3.33,-1.88,-9.61,-5.23,1.44,1.93,1.16,
Working Capital USD Mil,1285.0,1911.0,2446.0,2917.0,1926.0,3279.0,3392.0,3723.0,3016.0,2013.0,
