Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,23.08,21.3,24.14,22.92,14.32,19.8,20.22,19.98,19.83,21.24,20.34
Accounts Receivable,13.75,7.66,10.54,11.33,7.54,6.14,6.35,7.03,7.18,7.71,9.31
Inventory,11.19,11.53,9.92,11.34,8.72,8.78,9.14,10.07,10.42,10.89,11.27
Other Current Assets,6.58,8.07,5.86,7.09,7.61,6.38,6.63,6.75,6.16,5.54,6.28
Total Current Assets,54.61,48.56,50.45,52.68,38.19,41.11,42.34,43.83,43.59,45.38,47.2
Net PP&E,28.49,27.71,26.06,27.46,21.6,19.54,17.95,16.03,16.0,15.29,15.16
Intangibles,9.32,9.33,9.65,8.99,36.87,35.27,35.39,35.81,36.91,34.56,32.48
Other Long-Term Assets,7.58,14.39,13.85,10.86,3.33,4.08,4.31,4.33,3.51,4.77,5.16
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.19,2.72,4.15,4.63,3.05,2.22,2.23,2.47,2.38,2.41,2.54
Short-Term Debt,,,,,6.74,7.49,5.28,5.65,6.16,3.84,2.95
Taxes Payable,,0.34,1.06,0.81,0.49,0.39,1.2,0.4,0.59,0.51,0.44
Accrued Liabilities,4.77,9.8,7.89,9.34,6.79,7.02,4.51,4.58,6.62,7.02,6.21
Other Short-Term Liabilities,6.03,,,,,0.01,1.28,1.92,,,
Total Current Liabilities,15.99,12.85,13.1,14.78,17.07,17.13,14.51,15.02,15.74,13.78,12.14
Long-Term Debt,,,,,20.54,20.91,21.96,20.55,19.22,18.12,18.22
Other Long-Term Liabilities,5.27,8.93,6.68,7.34,8.95,7.21,6.47,5.81,3.75,4.36,4.74
Total Liabilities,21.25,21.78,19.78,22.12,46.57,45.25,42.93,41.37,38.72,36.26,35.09
Total Stockholders' Equity,78.75,78.22,80.22,77.88,53.43,54.75,57.07,58.63,61.28,63.74,64.91
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
