Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.87,9.06,17.61,12.49,5.1,6.71,6.83,5.38,4.62,6.51,4.92
Accounts Receivable,2.8,2.14,3.88,2.84,3.12,2.81,5.17,3.58,3.56,3.84,5.0
Inventory,2.34,1.83,2.31,1.68,1.15,2.65,2.65,3.07,3.81,3.66,2.47
Other Current Assets,7.47,21.19,2.75,9.53,19.06,10.48,7.75,9.07,10.5,7.06,6.29
Total Current Assets,18.48,34.23,26.55,26.54,28.44,22.65,22.41,21.1,22.48,21.07,18.69
Net PP&E,58.73,46.54,49.47,46.54,50.99,57.7,58.55,55.0,56.97,59.01,60.2
Intangibles,13.8,10.21,14.95,13.55,12.37,8.98,9.22,12.64,10.06,8.89,9.82
Other Long-Term Assets,8.99,9.02,9.03,13.38,8.21,10.67,9.82,11.25,10.49,11.04,11.3
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.98,1.8,2.98,2.91,3.02,3.33,3.06,2.61,2.64,2.95,3.58
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,1.94,1.58,2.16,1.86,1.67,2.16,1.96,1.98,2.46,2.51,3.9
Other Short-Term Liabilities,7.9,23.14,10.95,10.92,16.53,7.83,7.38,7.36,8.2,8.97,7.07
Total Current Liabilities,11.81,26.53,16.09,15.69,21.23,13.31,12.4,11.95,13.31,14.44,14.55
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,59.63,44.82,51.04,54.36,50.75,58.18,59.28,64.05,78.46,78.84,80.81
Total Liabilities,71.44,71.34,67.13,70.05,71.98,71.49,71.68,75.99,91.77,93.28,95.36
Total Stockholders' Equity,28.56,28.66,32.87,29.95,28.02,28.51,28.32,24.01,8.23,6.72,4.64
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
