Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,43.81,13.06,13.55,21.93,5.33,1.48,2.79,1.4,0.54,0.71,0.82
Accounts Receivable,1.63,1.75,0.75,0.17,0.24,0.28,0.38,4.48,0.55,0.14,0.18
Inventory,,,,,,,,4.81,5.13,4.45,3.12
Other Current Assets,0.01,0.54,0.09,0.03,,,0.25,1.4,0.06,0.02,0.01
Total Current Assets,45.45,15.35,14.39,22.12,5.56,1.76,3.42,12.08,6.28,5.32,4.13
Net PP&E,,0.31,0.22,1.46,94.44,98.24,96.58,87.92,93.72,94.68,95.87
Intangibles,,,,,,,,,,,
Other Long-Term Assets,54.55,84.34,85.39,76.42,,,,,,,
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.81,0.05,0.08,0.04,,1.0,2.66,3.43,5.37,3.58,3.82
Short-Term Debt,,,,,,1.82,,12.1,21.61,12.17,27.48
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,,,,,,,,1.36,0.58,0.45,0.65
Other Short-Term Liabilities,0.54,5.1,3.47,1.17,0.59,,,0.11,,0.25,0.1
Total Current Liabilities,3.34,5.14,3.56,1.21,0.59,2.82,2.66,16.99,27.56,16.46,32.06
Long-Term Debt,,,,,,,10.48,4.77,,11.76,
Other Long-Term Liabilities,5.74,,0.98,1.6,4.96,4.51,3.17,7.49,3.28,9.51,7.92
Total Liabilities,9.09,5.14,4.54,2.81,5.55,7.33,16.3,29.26,30.84,37.73,39.98
Total Stockholders' Equity,90.91,94.86,95.46,97.19,94.45,92.67,83.7,70.74,69.16,62.27,60.02
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
