Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.59,0.77,1.36,0.57,0.23,0.38,5.67,0.64,0.32,0.24,2.53
Accounts Receivable,91.65,93.78,92.16,94.44,96.06,3.67,35.48,38.7,37.41,32.76,29.02
Inventory,,,,,,,,,,,
Other Current Assets,-93.24,-94.55,-93.52,-95.01,-96.29,-4.05,0.63,0.35,0.44,0.27,0.19
Total Current Assets,,,,,,,41.79,39.69,38.17,33.28,31.74
Net PP&E,2.46,2.35,2.76,2.91,2.31,1.84,1.66,1.92,1.86,1.37,1.04
Intangibles,,,,,,,,,,,0.02
Other Long-Term Assets,-2.46,-2.35,-2.76,-2.91,-2.31,-1.84,56.55,58.39,59.96,65.36,67.2
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,,,,,0.95
Short-Term Debt,30.43,31.21,27.8,26.75,32.09,33.1,34.9,38.36,35.44,29.48,29.09
Taxes Payable,,0.44,0.49,,0.25,0.33,,,,,
Accrued Liabilities,,,,0.29,,,0.34,0.4,0.31,0.4,0.23
Other Short-Term Liabilities,-30.43,-31.65,-28.29,-27.03,-32.34,-33.43,0.65,0.77,0.88,1.0,
Total Current Liabilities,,,,,,,35.89,39.53,36.62,30.88,30.28
Long-Term Debt,27.13,21.77,18.8,24.11,33.12,35.2,27.31,24.01,25.05,24.97,33.54
Other Long-Term Liabilities,-27.13,-21.77,-18.8,-24.11,-33.12,-35.2,0.57,0.62,0.66,0.72,0.63
Total Liabilities,58.76,54.46,48.05,51.63,66.55,73.31,63.78,64.16,62.34,56.57,64.45
Total Stockholders' Equity,41.24,45.54,51.95,48.37,33.45,26.69,36.22,35.84,37.66,43.43,35.55
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
