Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,148.0,207.0,191.0,207.0,209.0,194.0,194.0,188.0,187.0,270.0,337.0
Gross Margin %,28.7,24.8,21.3,22.5,22.5,22.6,21.9,23.7,26.3,21.8,19.6
Operating Income GBP Mil,7.0,2.0,-1.0,7.0,2.0,4.0,6.0,6.0,7.0,9.0,9.0
Operating Margin %,4.5,1.2,-0.5,3.5,1.3,2.3,2.8,3.4,4.1,3.1,2.6
Net Income GBP Mil,3.0,-2.0,-5.0,3.0,-0.0,1.0,2.0,4.0,4.0,4.0,5.0
Earnings Per Share GBP,0.08,-0.05,-0.12,0.07,,0.03,0.05,0.07,0.09,0.09,0.1
Dividends GBP,0.01,0.01,,,,,,,0.01,0.01,0.01
Payout Ratio % *,5.9,,,5.3,17.5,11.6,10.3,6.0,8.2,10.5,11.6
Shares Mil,30.0,34.0,41.0,45.0,45.0,44.0,45.0,47.0,47.0,51.0,52.0
Book Value Per Share * GBP,0.78,0.84,0.54,0.57,0.55,0.46,0.48,0.49,0.49,0.72,0.85
Operating Cash Flow GBP Mil,0.0,3.0,0.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0
Cap Spending GBP Mil,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0
Free Cash Flow GBP Mil,-1.0,2.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0
Free Cash Flow Per Share * GBP,-0.03,0.06,,0.1,,0.05,0.08,0.07,0.07,0.09,
Working Capital GBP Mil,4.0,3.0,4.0,-2.0,6.0,4.0,5.0,7.0,6.0,6.0,
