Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.05,2.67,5.12,4.97,1.97,2.27,1.61,7.84,10.67,3.3,6.88
Accounts Receivable,0.62,0.02,0.03,0.05,0.17,0.19,0.18,0.21,0.19,0.16,0.13
Inventory,50.04,52.65,49.02,49.55,51.74,50.52,51.08,49.52,49.07,48.2,44.59
Other Current Assets,0.82,0.83,1.02,1.0,0.79,1.62,1.8,1.77,1.65,0.89,1.79
Total Current Assets,54.53,56.18,55.19,55.56,54.67,54.6,54.67,59.33,61.57,52.55,53.4
Net PP&E,3.93,12.56,13.28,14.18,1.05,1.01,0.82,0.86,0.32,0.57,0.56
Intangibles,0.17,6.2,,4.87,11.47,10.15,8.47,4.26,2.49,3.77,2.85
Other Long-Term Assets,41.37,25.05,31.54,25.39,32.81,34.24,36.04,35.55,35.62,43.12,43.19
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.49,2.91,1.9,2.32,3.06,,,,,,
Short-Term Debt,6.37,9.05,9.68,11.32,13.19,10.5,10.68,11.66,9.47,11.02,15.62
Taxes Payable,1.25,0.8,1.37,1.08,0.11,0.94,0.63,0.4,0.51,0.66,0.37
Accrued Liabilities,0.74,1.36,1.87,1.87,2.16,0.86,0.61,,,,
Other Short-Term Liabilities,1.78,1.29,1.26,0.84,0.78,5.52,6.2,6.9,7.63,7.82,6.99
Total Current Liabilities,12.63,15.41,16.08,17.43,19.29,17.83,18.12,18.95,17.61,19.51,22.99
Long-Term Debt,27.75,25.37,25.17,29.55,29.49,31.31,34.64,29.5,33.56,32.42,29.53
Other Long-Term Liabilities,0.38,2.99,2.91,2.65,2.89,2.98,2.7,1.42,1.69,1.36,1.83
Total Liabilities,40.77,43.76,44.16,49.63,51.68,52.11,55.46,49.87,52.87,53.29,54.35
Total Stockholders' Equity,59.23,56.24,55.84,50.37,48.32,47.89,44.54,50.13,47.13,46.71,45.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
