Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,14771.0,15003.0,14642.0,15053.0,15582.0,17265.0,18676.0,20063.0,21662.0,22991.0,23012.0
Gross Margin %,82.7,84.7,85.7,85.3,82.6,81.5,82.1,78.0,80.5,81.9,82.3
Operating Income USD Mil,3980.0,5214.0,5506.0,5545.0,4312.0,5577.0,5867.0,6191.0,8470.0,9794.0,10213.0
Operating Margin %,26.9,34.8,37.6,36.8,27.7,32.3,31.4,30.9,39.1,42.6,44.4
Net Income USD Mil,3166.0,4052.0,4605.0,4627.0,3683.0,4345.0,5081.0,5158.0,6939.0,7722.0,8178.0
Earnings Per Share USD,14.1,18.85,22.55,23.95,20.2,27.6,33.2,33.5,45.3,51.2,55.35
Dividends USD,,,,,0.07,0.28,0.28,0.48,0.32,,
Payout Ratio % *,,,,,,,,,,,1.4
Shares Mil,224.0,215.0,204.0,193.0,182.0,157.0,153.0,154.0,153.0,151.0,148.0
Book Value Per Share * USD,,326.93,,,,,,,,,1697.0
Operating Cash Flow USD Mil,5401.0,5988.0,6336.0,5787.0,5119.0,5882.0,6291.0,8555.0,9077.0,10354.0,11265.0
Cap Spending USD Mil,-1267.0,-672.0,-530.0,-580.0,-567.0,-689.0,-693.0,-1003.0,-649.0,-837.0,-837.0
Free Cash Flow USD Mil,4134.0,5316.0,5806.0,5207.0,4552.0,5193.0,5598.0,7552.0,8428.0,9517.0,10428.0
Free Cash Flow Per Share * USD,,85.99,,,,,,,,,
Working Capital USD Mil,6862.0,10335.0,15059.0,16559.0,21839.0,23018.0,19420.0,27705.0,29851.0,34806.0,
