Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,6.28,5.96,17.23,16.79,8.55,3.86,6.75,9.75,5.2,7.91,5.29
Accounts Receivable,,,,,,,,,,,
Inventory,27.04,24.7,22.21,22.38,22.7,26.95,26.94,26.43,29.68,27.96,33.32
Other Current Assets,1.94,1.99,2.24,2.45,2.63,3.12,3.11,3.31,2.43,2.78,2.39
Total Current Assets,35.26,32.65,41.68,41.62,33.88,33.94,36.81,39.48,37.31,38.65,41.01
Net PP&E,61.65,61.62,53.33,53.49,63.18,63.8,60.82,59.0,61.06,59.7,57.37
Intangibles,2.08,1.85,1.55,1.42,,,,,,,
Other Long-Term Assets,1.01,3.88,3.44,3.47,2.94,2.26,2.37,1.51,1.63,1.65,1.63
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.92,7.77,9.03,8.39,8.93,9.4,9.49,10.47,9.19,11.1,15.2
Short-Term Debt,0.12,0.15,,,,,,,,,
Taxes Payable,,,1.4,0.94,2.12,2.09,1.81,1.82,2.31,2.17,0.17
Accrued Liabilities,7.56,7.16,7.61,7.57,2.31,5.99,6.76,6.76,7.51,7.67,8.9
Other Short-Term Liabilities,1.18,0.93,0.12,3.08,5.02,0.76,0.97,0.76,0.93,0.97,0.94
Total Current Liabilities,16.77,16.01,18.16,19.98,18.38,18.23,19.03,19.81,19.95,21.91,25.22
Long-Term Debt,19.43,18.11,,,15.19,17.92,19.42,19.35,20.52,20.59,20.12
Other Long-Term Liabilities,6.01,6.41,22.17,20.29,20.26,20.35,19.97,19.32,19.18,19.36,18.49
Total Liabilities,42.22,40.54,40.33,40.27,53.82,56.5,58.42,58.49,59.64,61.86,63.82
Total Stockholders' Equity,57.78,59.46,59.67,59.73,46.18,43.5,41.58,41.51,40.36,38.14,36.18
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
