Key Financials ZAR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Revenue ZAR Mil,,,,,807.0,981.0,819.0,736.0,825.0,717.0,747.0
Gross Margin %,,,,,27.2,21.5,21.7,18.9,20.6,21.6,21.9
Operating Income ZAR Mil,,,,-0.0,77.0,20.0,-37.0,-105.0,-49.0,-40.0,-49.0
Operating Margin %,,,,,9.5,2.1,-4.5,-14.3,-5.9,-5.6,-6.6
Net Income ZAR Mil,,,,0.0,51.0,4.0,-99.0,-135.0,-73.0,-51.0,-60.0
Earnings Per Share ZAR,,,,,12.45,0.93,-24.28,-52.9,-5.43,-1.06,-1.13
Dividends ZAR,,,,,,1.87,,,,,
Payout Ratio % *,,,,,,200.0,,,,,
Shares Mil,,,,,4.0,4.0,4.0,3.0,13.0,48.0,52.0
Book Value Per Share * ZAR,,,,,,48.21,23.08,-7.05,-0.27,,-1.15
Operating Cash Flow ZAR Mil,,,,1.0,0.0,32.0,-20.0,-14.0,-49.0,-23.0,-14.0
Cap Spending ZAR Mil,,,,,,-77.0,-29.0,-3.0,-28.0,-18.0,-44.0
Free Cash Flow ZAR Mil,,,,1.0,0.0,-45.0,-49.0,-17.0,-77.0,-41.0,-58.0
Free Cash Flow Per Share * ZAR,,,,,,-10.92,-11.99,-4.14,-5.02,-2.43,
Working Capital ZAR Mil,,,,18.0,13.0,57.0,-6.0,-95.0,-71.0,57.0,
