Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2173.0,2106.0,1855.0,2012.0,2219.0,2276.0,2570.0,3126.0,4345.0,4874.0,5272.0
Gross Margin %,22.1,25.1,30.5,33.0,33.9,35.0,35.5,37.7,38.9,41.5,43.0
Operating Income USD Mil,42.0,-63.0,171.0,231.0,316.0,357.0,396.0,503.0,702.0,925.0,1025.0
Operating Margin %,1.9,-3.0,9.2,11.5,14.2,15.7,15.4,16.1,16.2,19.0,19.4
Net Income USD Mil,-227.0,-212.0,67.0,23.0,127.0,169.0,102.0,338.0,427.0,633.0,733.0
Earnings Per Share USD,,,3.21,0.13,0.71,0.94,0.49,1.62,1.86,2.78,3.2
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,21.0,178.0,179.0,179.0,209.0,212.0,230.0,228.0,229.0
Book Value Per Share * USD,,,,,,,12.44,12.53,17.2,19.96,24.24
Operating Cash Flow USD Mil,36.0,-23.0,51.0,419.0,357.0,399.0,475.0,636.0,1041.0,1240.0,1511.0
Cap Spending USD Mil,-583.0,-164.0,-162.0,-977.0,-185.0,-304.0,-895.0,-1052.0,-1123.0,-1092.0,-1306.0
Free Cash Flow USD Mil,-547.0,-187.0,-111.0,-559.0,172.0,95.0,-420.0,-416.0,-82.0,148.0,205.0
Free Cash Flow Per Share * USD,,,,,,,-2.43,-0.7,1.72,-2.4,
Working Capital USD Mil,-696.0,-742.0,-342.0,-524.0,-665.0,-780.0,-893.0,-1803.0,-2026.0,-1902.0,
