Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7316.0,8579.0,7577.0,9274.0,10336.0,11359.0,12752.0,13470.0,13476.0,13144.0,14325.0
Gross Margin %,17.0,16.0,18.2,15.8,15.8,15.1,14.4,14.9,16.8,17.3,16.0
Operating Income USD Mil,510.0,572.0,585.0,623.0,693.0,675.0,683.0,748.0,858.0,838.0,758.0
Operating Margin %,7.0,6.7,7.7,6.7,6.7,5.9,5.4,5.6,6.4,6.4,5.3
Net Income USD Mil,324.0,359.0,361.0,387.0,432.0,594.0,416.0,450.0,510.0,513.0,475.0
Earnings Per Share USD,1.86,2.08,2.13,2.33,2.62,3.67,2.65,3.05,3.51,3.59,3.35
Dividends USD,0.76,0.9,0.97,1.04,1.2,1.34,1.4,1.43,1.57,1.74,1.8
Payout Ratio % *,40.8,43.3,45.5,44.6,45.1,36.5,38.7,48.3,44.7,47.6,53.7
Shares Mil,174.0,173.0,169.0,166.0,165.0,162.0,157.0,148.0,145.0,143.0,142.0
Book Value Per Share * USD,6.1,6.54,6.46,7.25,7.76,9.32,6.58,6.96,7.89,8.99,9.71
Operating Cash Flow USD Mil,308.0,448.0,373.0,345.0,430.0,460.0,348.0,513.0,718.0,529.0,371.0
Cap Spending USD Mil,-44.0,-24.0,-34.0,-29.0,-53.0,-51.0,-48.0,-30.0,-45.0,-91.0,-67.0
Free Cash Flow USD Mil,265.0,424.0,338.0,316.0,377.0,410.0,300.0,484.0,674.0,438.0,304.0
Free Cash Flow Per Share * USD,1.52,2.45,2.0,1.9,2.81,2.53,2.07,2.9,4.36,3.82,
Working Capital USD Mil,632.0,650.0,575.0,710.0,735.0,440.0,395.0,530.0,282.0,162.0,
