Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,20.24,16.82,26.27,18.86,20.07,25.62,31.15,26.73,20.86,21.97,24.89
Accounts Receivable,2.84,1.86,2.02,2.81,3.46,3.28,2.89,2.63,1.79,1.83,1.8
Inventory,1.16,1.79,1.41,1.3,1.04,0.88,0.89,0.8,0.71,0.77,0.67
Other Current Assets,0.87,0.46,0.41,0.42,0.45,0.49,0.51,0.55,0.46,0.45,1.26
Total Current Assets,25.11,20.93,30.11,23.39,25.02,30.27,35.44,30.7,23.81,25.02,28.62
Net PP&E,62.55,75.72,66.77,73.73,70.52,64.97,58.9,64.61,71.06,69.1,67.48
Intangibles,0.95,0.73,0.59,0.6,0.52,0.43,0.37,1.24,1.05,0.95,1.0
Other Long-Term Assets,11.39,2.63,2.53,2.28,3.94,4.33,5.29,3.45,4.07,4.94,2.9
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.9,3.44,1.79,2.52,2.49,2.27,3.26,3.35,2.0,2.5,2.25
Short-Term Debt,0.14,0.04,0.04,0.04,5.91,0.01,0.01,,,,3.26
Taxes Payable,,1.01,1.35,2.62,2.6,2.27,2.47,1.51,0.94,1.36,1.52
Accrued Liabilities,1.97,1.83,1.5,2.37,3.24,3.03,2.78,3.18,3.32,2.97,2.46
Other Short-Term Liabilities,4.28,4.41,4.9,5.75,8.66,7.97,8.85,6.45,4.3,5.02,7.11
Total Current Liabilities,9.29,10.73,9.57,13.3,22.9,15.55,17.38,14.49,10.55,11.85,16.59
Long-Term Debt,56.09,63.63,47.04,48.92,40.72,79.46,78.63,81.05,87.56,84.71,78.63
Other Long-Term Liabilities,3.69,2.02,3.37,4.25,6.1,8.55,6.2,4.78,2.96,2.12,2.13
Total Liabilities,69.07,76.38,59.98,66.47,69.72,103.56,102.2,100.32,101.06,98.68,97.35
Total Stockholders' Equity,30.93,23.62,40.02,33.53,30.28,-3.56,-2.2,-0.32,-1.06,1.32,2.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
